"","row","ID","age","gender","natLang","order","condition","cardinality","adjective","type","subtype","shape","display","sentence","response","time","code","conditionC","meanScore","sd","zScore","adjType","new.adj","item"
"1",1," 58a879bac5bcf000011b15d7",34,"Male","English",2,"PROGRESSIVE","2","SUPERLATIVE","target","","heart","[7-5]","This is the smallest heart.",7,2280,561026910,"PROGRESSIVE-2-SUPERLATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"smallest","small","heart-small"
"2",2," 58a879bac5bcf000011b15d7",34,"Male","English",3,"PROGRESSIVE","4","COMPARATIVE","target","","cone","[7-3-5-1]","This is the taller cone.",2,12338,561026910,"PROGRESSIVE-4-COMPARATIVE",5.83333333333333,1.94784949291746,-1.96798230421377,"taller","tall","cone-tall"
"3",3," 58a879bac5bcf000011b15d7",34,"Male","English",9,"COARSE","2","COMPARATIVE","target","","diamond","[3-7]","This is the smaller diamond.",7,2404,561026910,"COARSE-2-COMPARATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"smaller","small","diamond-small"
"4",4," 58a879bac5bcf000011b15d7",34,"Male","English",10,"COARSE","3","SUPERLATIVE","target","","cylinder","[7-3-2]","This is the tallest cylinder.",7,31222,561026910,"COARSE-3-SUPERLATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"tallest","tall","cylinder-tall"
"5",5," 58a879bac5bcf000011b15d7",34,"Male","English",11,"CRISP","4","COMPARATIVE","target","","circle","[2-1-7-6]","This is the smaller circle.",3,4684,561026910,"CRISP-4-COMPARATIVE",5.83333333333333,1.94784949291746,-1.454595616158,"smaller","small","circle-small"
"6",6," 58a879bac5bcf000011b15d7",34,"Male","English",14,"CRISP","3","COMPARATIVE","target","","heart","[2-6-7]","This is the bigger heart.",3,5113,561026910,"CRISP-3-COMPARATIVE",5.83333333333333,1.94784949291746,-1.454595616158,"bigger","big","heart-big"
"7",7," 58a879bac5bcf000011b15d7",34,"Male","English",20,"PROGRESSIVE","2","COMPARATIVE","target","","cone","[5-7]","This is the shorter cone.",7,2714,561026910,"PROGRESSIVE-2-COMPARATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"shorter","short","cone-short"
"8",8," 58a879bac5bcf000011b15d7",34,"Male","English",22,"CRISP","3","SUPERLATIVE","target","","circle","[2-6-7]","This is the biggest circle.",7,3531,561026910,"CRISP-3-SUPERLATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"biggest","big","circle-big"
"9",9," 58a879bac5bcf000011b15d7",34,"Male","English",25,"PROGRESSIVE","4","SUPERLATIVE","target","","pentagon","[7-1-5-3]","This is the smallest pentagon.",7,2496,561026910,"PROGRESSIVE-4-SUPERLATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"smallest","small","pentagon-small"
"10",10," 58a879bac5bcf000011b15d7",34,"Male","English",29,"CRISP","4","SUPERLATIVE","target","","diamond","[1-6-2-7]","This is the biggest diamond.",7,2737,561026910,"CRISP-4-SUPERLATIVE",5.83333333333333,1.94784949291746,0.59895113606506,"biggest","big","diamond-big"
"11",11," 58a879bac5bcf000011b15d7",34,"Male","English",33,"COARSE","3","COMPARATIVE","target","","triangle","[7-2-3]","This is the smaller triangle.",3,3741,561026910,"COARSE-3-COMPARATIVE",5.83333333333333,1.94784949291746,-1.454595616158,"smaller","small","triangle-small"
"12",12," 58a879bac5bcf000011b15d7",34,"Male","English",34,"PROGRESSIVE","3","COMPARATIVE","target","","triangle","[7-3-5]","This is the bigger triangle.",3,3436,561026910,"PROGRESSIVE-3-COMPARATIVE",5.83333333333333,1.94784949291746,-1.454595616158,"bigger","big","triangle-big"
"13",13," 5c114210280a8200019d7b1d",30,"Female","English",1,"PROGRESSIVE","3","COMPARATIVE","target","","circle","[5-7-3]","This is the smaller circle.",7,3798,1814248716,"PROGRESSIVE-3-COMPARATIVE",5.95,1.8771478925557,0.559359230119287,"smaller","small","circle-small"
"14",14," 5c114210280a8200019d7b1d",30,"Female","English",3,"CRISP","4","SUPERLATIVE","target","","cone","[6-2-7-1]","This is the tallest cone.",5,3369,1814248716,"CRISP-4-SUPERLATIVE",5.95,1.8771478925557,-0.506086922488879,"tallest","tall","cone-tall"
