n.subj,n.item,seed,key,mean,lower,upper
250,16,1,b_adjectiveSUPERLATIVE,0.5216838635,0.43331469999999994,0.609724325
250,16,1,b_cardinality4,-0.2233393352,-0.316547075,-0.12748407500000003
250,16,1,b_cardinality4:adjectiveSUPERLATIVE,0.12035005052968334,-0.0074734297500000015,0.2512209999999998
250,16,1,b_Intercept,0.009080432745616667,-0.0551256125,0.0724224875
250,16,2,b_adjectiveSUPERLATIVE,0.5865673068333334,0.4981966,0.6748931749999999
250,16,2,b_cardinality4,-0.3842814915,-0.47635265,-0.291707925
250,16,2,b_cardinality4:adjectiveSUPERLATIVE,0.3969174055,0.270234775,0.5233812
250,16,2,b_Intercept,0.19805749835,0.13748795,0.25766225
250,16,3,b_adjectiveSUPERLATIVE,0.4868545653333333,0.4041476,0.5669633999999998
250,16,3,b_cardinality4,-0.3125851235,-0.39939802500000005,-0.22602280000000005
250,16,3,b_cardinality4:adjectiveSUPERLATIVE,0.200618721145,0.0895725525,0.31759729999999997
250,16,3,b_Intercept,0.20164710265,0.139640825,0.26364414999999997
250,16,4,b_adjectiveSUPERLATIVE,0.4593091095,0.364433575,0.5518280249999998
250,16,4,b_cardinality4,-0.29154151466666667,-0.38487815000000003,-0.19970805000000005
250,16,4,b_cardinality4:adjectiveSUPERLATIVE,0.33106580246666667,0.19939335,0.46656135
250,16,4,b_Intercept,0.14566360809166667,0.078112375,0.2123485249999999
250,16,5,b_adjectiveSUPERLATIVE,0.5249879866666667,0.44125965000000006,0.610696
250,16,5,b_cardinality4,-0.31602542683333334,-0.393506075,-0.23840625000000013
250,16,5,b_cardinality4:adjectiveSUPERLATIVE,0.2681572712333333,0.15819732500000003,0.38043762499999983
250,16,5,b_Intercept,0.08393698143016666,0.0268279325,0.13910037499999997
250,16,6,b_adjectiveSUPERLATIVE,0.6477509998333333,0.5473728,0.7522595249999998
250,16,6,b_cardinality4,-0.22507111375,-0.321684125,-0.126136875
250,16,6,b_cardinality4:adjectiveSUPERLATIVE,0.4123899773333333,0.2735827,0.5486207000000001
250,16,6,b_Intercept,0.1098440095095,0.038729965,0.179142225
250,16,7,b_adjectiveSUPERLATIVE,0.5222649876666666,0.42921817500000004,0.6169688999999999
250,16,7,b_cardinality4,-0.11128769817641666,-0.202083675,-0.019276940000000048
250,16,7,b_cardinality4:adjectiveSUPERLATIVE,0.13282186351258132,0.0020529027499999997,0.26892989999999983
250,16,7,b_Intercept,0.13816446868333335,0.07307547499999999,0.20380412499999995
250,16,8,b_adjectiveSUPERLATIVE,0.3664772105,0.27071515,0.46202292500000003
250,16,8,b_cardinality4,-0.30329549945,-0.40075869999999997,-0.2077679750000001
250,16,8,b_cardinality4:adjectiveSUPERLATIVE,0.7018095673333333,0.5648439500000001,0.8357685499999999
