key,mean,lower,upper,n.subj,n.item,seed
b_adjectiveSUPERLATIVE,0.3432861448333333,0.2484502,0.43558807499999996,250,18,1
b_cardinality4,-0.3533535646666667,-0.446246925,-0.2616404500000001,250,18,1
b_cardinality4:adjectiveSUPERLATIVE,0.6026158191666666,0.47573965,0.73031125,250,18,1
b_Intercept,-0.061155138367616664,-0.12273005000000001,0.0013027584999999676,250,18,1
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.2492622545,0.14442052499999997,0.35139315000000004,250,18,1
b_adjectiveSUPERLATIVE,0.5636180753333333,0.4691271,0.6607655,250,18,2
b_cardinality4,-0.35438028816666667,-0.43816894999999995,-0.26714170000000004,250,18,2
b_cardinality4:adjectiveSUPERLATIVE,0.3486297958333333,0.227236475,0.4687999499999999,250,18,2
b_Intercept,0.2527250555,0.190382475,0.312508425,250,18,2
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,-0.0057504923333333334,-0.10083550000000001,0.0879495749999999,250,18,2
b_adjectiveSUPERLATIVE,0.40969138716666664,0.316713625,0.502664575,250,18,3
b_cardinality4,-0.28802892,-0.377958625,-0.19884295000000005,250,18,3
b_cardinality4:adjectiveSUPERLATIVE,0.31148899603333335,0.18112272499999998,0.4371928499999999,250,18,3
b_Intercept,0.04963103924809533,-0.017808400000000002,0.11567242499999995,250,18,3
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.023460076033333332,-0.06993165,0.11544629999999995,250,18,3
b_adjectiveSUPERLATIVE,0.476717556,0.37137162500000004,0.580481925,250,18,4
b_cardinality4,-0.26384561475,-0.36630815,-0.16015255000000003,250,18,4
b_cardinality4:adjectiveSUPERLATIVE,0.19695147631333335,0.05165576,0.3403008999999999,250,18,4
b_Intercept,0.10244291279533334,0.0278892025,0.17691242499999998,250,18,4
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,-0.06689413843666667,-0.17679141000000004,0.041303024999999986,250,18,4
b_adjectiveSUPERLATIVE,0.34155752866666667,0.25506975,0.428648675,250,18,5
b_cardinality4,-0.350584935,-0.4379832,-0.26228205000000004,250,18,5
b_cardinality4:adjectiveSUPERLATIVE,0.568235913,0.44225820000000005,0.6918361999999998,250,18,5
b_Intercept,0.15804045371666667,0.09543525,0.21854544999999997,250,18,5
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.217650978,0.12092637499999999,0.3125475499999999,250,18,5
b_adjectiveSUPERLATIVE,0.411676798,0.311601375,0.511877225,250,18,6
b_cardinality4,-0.7822662548333333,-0.8813439500000001,-0.6818586999999999,250,18,6
b_cardinality4:adjectiveSUPERLATIVE,0.41421468483333335,0.27660457499999996,0.5567066,250,18,6
b_Intercept,0.5144674706666666,0.444930225,0.5839282499999999,250,18,6
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,-0.36805157,-0.47398085000000006,-0.25729854999999996,250,18,6
b_adjectiveSUPERLATIVE,0.8360495635,0.74328895,0.9264149749999999,250,18,7
b_cardinality4,-0.30766881116666667,-0.40123935,-0.21360232500000012,250,18,7
b_cardinality4:adjectiveSUPERLATIVE,0.03274488314559667,-0.1052267,0.17052487499999985,250,18,7
b_Intercept,0.079020453149,0.012971405,0.142861,250,18,7
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,-0.27492392802107,-0.38538959749999996,-0.16575753500000007,250,18,7
b_adjectiveSUPERLATIVE,0.4197111355,0.32750530000000005,0.510006475,250,18,8
b_cardinality4,-0.3802715561666667,-0.47070550000000005,-0.29130512500000005,250,18,8
b_cardinality4:adjectiveSUPERLATIVE,0.45848002449999997,0.332938375,0.5873137749999999,250,18,8
b_Intercept,0.22745237933333334,0.16196905,0.29138877499999993,250,18,8
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.07820846833333334,-0.01752187500000003,0.17611472499999986,250,18,8
b_adjectiveSUPERLATIVE,0.24825458978333334,0.159376575,0.33744119999999994,250,18,9
b_cardinality4,-0.27970591166666664,-0.367548675,-0.18974625000000003,250,18,9
b_cardinality4:adjectiveSUPERLATIVE,0.47518495,0.35086565,0.6009999999999999,250,18,9
b_Intercept,0.15200823028333332,0.090405935,0.21584874999999995,250,18,9
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.19547903833333333,0.09575107499999998,0.29613469999999986,250,18,9
b_adjectiveSUPERLATIVE,0.5072157785,0.425078975,0.5865183999999999,250,18,10
b_cardinality4,-0.16003541993333334,-0.23942354999999998,-0.08145493250000005,250,18,10
b_cardinality4:adjectiveSUPERLATIVE,0.11474386450533333,-0.0040212557500000036,0.23064047499999993,250,18,10
b_Intercept,0.09384764346483333,0.036246147500000006,0.14974477499999997,250,18,10
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,-0.045291555428,-0.1410608075,0.046388924999999984,250,18,10
b_adjectiveSUPERLATIVE,0.5379221868333334,0.45131180000000004,0.627332375,250,18,11
b_cardinality4,-0.15348518154166665,-0.24112072499999998,-0.06384876750000006,250,18,11
b_cardinality4:adjectiveSUPERLATIVE,0.28210901547,0.149685825,0.4078279499999999,250,18,11
b_Intercept,0.020948257114583334,-0.04157114,0.08170108749999999,250,18,11
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.12862383392833332,0.021282725,0.23304841249999994,250,18,11
b_adjectiveSUPERLATIVE,0.5609117081666667,0.47504012500000004,0.645773325,250,18,12
b_cardinality4,-0.2536555663,-0.335096825,-0.1709584,250,18,12
b_cardinality4:adjectiveSUPERLATIVE,0.313222086,0.19419202500000002,0.43051369999999994,250,18,12
b_Intercept,0.13273680644,0.071226725,0.19289435,250,18,12
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.0595665197,-0.029631049999999985,0.14785209999999996,250,18,12
b_adjectiveSUPERLATIVE,0.6647868168333333,0.565551675,0.7640657,250,18,13
b_cardinality4,-0.298584135,-0.394286225,-0.205055375,250,18,13
b_cardinality4:adjectiveSUPERLATIVE,0.43844411116666665,0.30583535000000006,0.569840125,250,18,13
b_Intercept,0.3936257403333333,0.3294045,0.4594276749999999,250,18,13
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.13985997616666668,0.033262424999999984,0.24678452500000003,250,18,13
b_adjectiveSUPERLATIVE,0.5412508893333333,0.450297725,0.633047375,250,18,14
b_cardinality4,-0.0040516368100666665,-0.094528445,0.08579235249999982,250,18,14
b_cardinality4:adjectiveSUPERLATIVE,0.25143010838333335,0.12528482500000002,0.38076172499999994,250,18,14
b_Intercept,0.06891808363621667,0.007047418249999999,0.13054899999999992,250,18,14
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.24737847157326667,0.15053499600000003,0.34152448499999993,250,18,14
b_adjectiveSUPERLATIVE,0.9607043885,0.878091925,1.04579025,250,18,15
b_cardinality4,-0.18285228521666666,-0.26586787500000003,-0.10099735000000001,250,18,15
b_cardinality4:adjectiveSUPERLATIVE,0.3953853821666667,0.27905929999999995,0.508783275,250,18,15
b_Intercept,0.0240577688004,-0.034270800000000004,0.08245650499999997,250,18,15
b_cardinality4 + b_cardinality4:adjectiveSUPERLATIVE,0.21253309695,0.1240786,0.29906456750000004,250,18,15
b_adjectiveSUPERLATIVE,0.7455613298333333,0.6565094,0.8365204500000001,250,18,16
